Dataset,Naive_MAE,DLinear_MAE,DLinear_PredScore,Linear_MAE,Linear_PredScore,POCO_MAE,POCO_PredScore,TSMixer_MAE,TSMixer_PredScore,Informer_MAE,Informer_PredScore,Transformer_MAE,Transformer_PredScore
Delta F/F,0.15644656,0.11816902,0.41204010060999563,0.11860744,0.40811856198740193,0.114827454,0.4313272670536349,0.11620584,0.42480571263335265,0.11872788,0.3833805906992659,0.118391715,0.3883379687273133
Pseudo,20.955076,15.468754,0.3053387875419261,16.074871,0.2814622881607487,14.425557,0.3550650719326376,15.173957,0.3600510650137926,17.708822,0.09965502045705754,17.670937,0.1095597681234598
ZScore,0.78852016,0.602995,0.40283681529723947,0.60306007,0.40226870074449084,0.5914868,0.4041860873600175,0.60176307,0.3922128034862098,0.66864103,0.22032210477093084,0.64032143,0.29194440531665333
