model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong70N_MSE,48,16,16,0.02218669,0.082720146,0.14895196,1.8926004,8997.146,0.7289029,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong70N_MSE,48,16,16,0.031375058,0.10367152,0.17713006,3.43082,43419.227,0.8667936,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N_MSE,48,16,16,0.019717148,0.077511534,0.14041775,2.1558177,11508.6045,0.68714035,"[0.13876346 0.13805182 0.13709997 0.13624203 0.13524276 0.13325404
 0.13148314 0.12908693 0.12636168 0.12415035 0.12174529 0.11933618
 0.11723524 0.11500814 0.11225935 0.10985037]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N_MSE,48,16,16,0.018338345,0.07979913,0.13541915,3.1372082,37200.086,0.66267943,"[0.13751398 0.13682988 0.13634714 0.13598275 0.13540715 0.13390015
 0.13248535 0.13059148 0.12838139 0.12614536 0.12366483 0.12170018
 0.11956859 0.11766278 0.11574443 0.11333778]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N_MSE,48,16,16,0.019756263,0.08195153,0.14055698,3.2837207,47630.312,0.6878216,"[0.13966717 0.14030255 0.13926576 0.13726802 0.1349179  0.13316926
 0.13104942 0.12857944 0.12606707 0.12235142 0.1210609  0.11832135
 0.11659392 0.11304966 0.11164448 0.10881594]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N_MSE,48,16,16,0.018467475,0.07851708,0.13589509,3.1316924,43570.793,0.6650085,"[0.13819727 0.13744353 0.13673337 0.13601597 0.1349396  0.13340321
 0.1316192  0.12942587 0.12699854 0.12448949 0.12210094 0.11981605
 0.11744227 0.11531446 0.11301945 0.11055958]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N_MSE,48,16,16,0.03083601,0.10829663,0.17560185,3.6601427,30136.764,0.8593152,"[0.14180507 0.14082351 0.1394375  0.13755876 0.13271634 0.13050537
 0.1289747  0.12644082 0.11754368 0.11585587 0.11320847 0.11029853
 0.09864307 0.0967152  0.09481391 0.09173656]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N_MSE,48,16,16,0.02556103,0.100115426,0.15987816,3.3394694,25898.164,0.7823707,"[0.14165486 0.14157854 0.14061958 0.13938607 0.13783856 0.13606484
 0.13417104 0.13202398 0.12966403 0.12722145 0.12477096 0.12233321
 0.11983483 0.11726943 0.11467611 0.11098032]"
