model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_16_8_Naive_Activity_ftM_sl16_pl8_Exp,ActivityShort7NeuronsTest,16,8,8,0.01584073,0.069530666,0.12585996,2.97765,58410.03,0.50321054,[]
Mean,Mean_16_8_Mean_Activity_ftM_sl16_pl8_Exp,ActivityShort7NeuronsTest,16,8,8,0.02831081,0.10145863,0.16825816,2.8926907,29825.457,0.67272615,[]
POCO,POCO_16_8_POCO_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7NeuronsTest,16,8,8,0.015090235,0.06392395,0.12284232,3.9100378,84660.84,0.4911455,"[0.19230905 0.18976527 0.1870984  0.18456161 0.18233776 0.17997392
 0.17713405 0.17383027]"
TSMixer,TSMixer_16_8_TSMixer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7NeuronsTest,16,8,8,0.015922688,0.06540186,0.12618513,2.4829924,47491.793,0.50451064,"[0.19307718 0.19149953 0.18946043 0.18703124 0.1846379  0.18224569
 0.1793047  0.17574018]"
Linear,Linear_16_8_Linear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7NeuronsTest,16,8,8,0.018373296,0.0713301,0.13554813,3.4990125,65786.89,0.5419456,"[0.19458815 0.19396362 0.18728147 0.18939818 0.18582675 0.1852052
 0.18014146 0.17798784]"
DLinear,DLinear_16_8_DLinear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7NeuronsTest,16,8,8,0.0161694,0.065533064,0.12715895,3.4106925,66271.68,0.5084042,"[0.19361493 0.1920149  0.19020471 0.18844171 0.18668681 0.18420133
 0.18150793 0.1781251 ]"
Informer,Informer_16_8_Informer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7NeuronsTest,16,8,8,0.016319582,0.064835265,0.12774812,4.8374124,139079.05,0.5107598,"[0.19356152 0.19153063 0.18913561 0.18650416 0.18459664 0.18129724
 0.17959079 0.17633645]"
Transformer,Transformer_16_8_Transformer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7NeuronsTest,16,8,8,0.015739629,0.0634377,0.12545767,4.638269,133414.11,0.50160223,"[0.19125333 0.18985723 0.18808979 0.18617111 0.18429354 0.18188456
 0.17963499 0.17668445]"
