model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_16_8_Naive_Activity_ftM_sl16_pl8_Exp,ActivityLong7NeuronsTest,16,8,8,0.01584073,0.069530666,0.12585996,2.97765,58410.03,0.50321054,[]
Mean,Mean_16_8_Mean_Activity_ftM_sl16_pl8_Exp,ActivityLong7NeuronsTest,16,8,8,0.02831081,0.10145863,0.16825816,2.8926907,29825.457,0.67272615,[]
TSMixer,TSMixer_16_8_TSMixer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7NeuronsTest,16,8,8,0.015922688,0.06540186,0.12618513,2.482992,47491.78,0.50451064,"[0.19307719 0.19149953 0.18946043 0.18703121 0.18463792 0.18224569
 0.1793047  0.17574021]"
Linear,Linear_16_8_Linear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7NeuronsTest,16,8,8,0.018373296,0.0713301,0.13554813,3.4990122,65786.89,0.5419456,"[0.19458815 0.19396362 0.18728147 0.18939818 0.18582673 0.1852052
 0.18014146 0.17798784]"
DLinear,DLinear_16_8_DLinear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7NeuronsTest,16,8,8,0.016169399,0.065533064,0.12715895,3.4106925,66271.68,0.5084042,"[0.19361493 0.1920149  0.19020471 0.18844171 0.18668681 0.18420133
 0.18150793 0.1781251 ]"
Informer,Informer_16_8_Informer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7NeuronsTest,16,8,8,0.016201017,0.064769775,0.12728322,4.6497545,119382.484,0.508901,"[0.1938397  0.19183154 0.189573   0.18687849 0.18452413 0.18158342
 0.17991991 0.1766681 ]"
Transformer,Transformer_16_8_Transformer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7NeuronsTest,16,8,8,0.01574162,0.063465364,0.12546562,4.754152,141691.56,0.5016339,"[0.19119754 0.18981092 0.18807481 0.18617633 0.18430996 0.18196705
 0.17974092 0.17673945]"
