model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_ActivityBehavioral_ftM_sl48_pl16_Exp,ActivityLongPassive11392N,48,16,16,0.051020574,0.16337168,0.22587734,2.6826262,2989361.5,1.0624619,[]
Mean,Mean_48_16_Mean_ActivityBehavioral_ftM_sl48_pl16_Exp,ActivityLongPassive11392N,48,16,16,0.033060383,0.12920006,0.18182515,2.7826736,2610775.5,0.8552531,[]
TSMixer,TSMixer_48_16_TSMixer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.030585058,0.12248423,0.17488584,2.5336654,2293562.8,0.8226126,"[0.11561395 0.1156044  0.11461378 0.11446743 0.11309324 0.11198834
 0.10899766 0.10765982 0.1045662  0.10229599 0.09938517 0.09668078
 0.0946096  0.09272014 0.09005167 0.08853809]"
POCO,POCO_48_16_POCO_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.030798068,0.12219121,0.17549378,2.730949,3140938.8,0.8254722,"[0.11184625 0.11174634 0.1122882  0.11250875 0.11258461 0.11271986
 0.1120299  0.11114269 0.10991744 0.10848621 0.10686803 0.10563092
 0.10427084 0.10289758 0.10142294 0.10026625]"
DLinear,DLinear_48_16_DLinear_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.031099344,0.12499873,0.17635006,2.6067696,2258520.2,0.82949984,"[0.13234559 0.12950937 0.12644906 0.1231373  0.1196245  0.11598323
 0.11222959 0.10852317 0.10495101 0.10164899 0.09857355 0.09576826
 0.09320637 0.09087952 0.08876867 0.08684444]"
Linear,Linear_48_16_Linear_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.031168707,0.12512453,0.17654662,2.6061306,2256201.2,0.83042437,"[0.1324485  0.12912385 0.12634689 0.12315513 0.11962462 0.11545469
 0.11164015 0.10802208 0.10494716 0.10139924 0.09856229 0.09532823
 0.09232726 0.09004275 0.0887505  0.08643442]"
Transformer,Transformer_48_16_Transformer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.036186915,0.13155502,0.19022858,2.9509299,4007510.2,0.8947804,"[0.09795441 0.08869874 0.08767954 0.08681322 0.08623887 0.08583012
 0.0854618  0.08511258 0.0847781  0.08442756 0.08406723 0.08365059
 0.08317874 0.08271535 0.08232595 0.08208783]"
Informer,Informer_48_16_Informer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.03627709,0.1316529,0.19046545,2.932813,3705303.5,0.89589465,"[0.08995312 0.08830651 0.08767655 0.08680637 0.08112376 0.08100364
 0.080889   0.08050165 0.08104482 0.0812242  0.08095244 0.08051359
 0.07843356 0.07841126 0.07804619 0.07760146]"
POCO,POCO_48_16_POCO_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongPassive11392N,48,16,16,0.030797651,0.122190416,0.1754926,2.730826,3140129.5,0.8254666,"[0.11183729 0.11175089 0.11228054 0.1125065  0.11258709 0.11271814
 0.11202654 0.11114707 0.10992066 0.10849071 0.1068664  0.10563888
 0.10427025 0.10290071 0.10142394 0.10028157]"
