model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_ActivityBehavioral_ftM_sl48_pl16_Exp,ActivityLongBehavioral7000N,48,16,16,0.053295992,0.16600147,0.23085925,2.53169,1899725.6,1.068782,[]
Mean,Mean_48_16_Mean_ActivityBehavioral_ftM_sl48_pl16_Exp,ActivityLongBehavioral7000N,48,16,16,0.034731332,0.13164002,0.18636344,2.583217,1369582.4,0.8627849,[]
TSMixer,TSMixer_48_16_TSMixer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000N,48,16,16,0.032210253,0.124509715,0.17947215,2.3425732,1191652.5,0.83088106,"[0.1196247  0.1183954  0.11950051 0.11935995 0.11642832 0.11555015
 0.11251257 0.11045549 0.10839682 0.1055229  0.10220618 0.09956212
 0.09736532 0.09519723 0.09254855 0.09123085]"
POCO,POCO_48_16_POCO_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000N,48,16,16,0.03233429,0.12420655,0.17981738,2.5781941,1977738.5,0.83247936,"[0.11456066 0.1142674  0.11487959 0.11580798 0.11684443 0.11719634
 0.11744711 0.1171008  0.1161318  0.11512103 0.1139548  0.11263335
 0.11122261 0.11017942 0.10908031 0.10813346]"
DLinear,DLinear_48_16_DLinear_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000N,48,16,16,0.032641612,0.12712127,0.1806699,2.4284923,1225345.1,0.83642614,"[0.1381116  0.13504753 0.13175426 0.12813532 0.1243161  0.12033688
 0.11625525 0.11222904 0.10837031 0.10486182 0.10161354 0.09867594
 0.0960387  0.09368891 0.09158092 0.08968835]"
Linear,Linear_48_16_Linear_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000N,48,16,16,0.032733157,0.12728758,0.18092307,2.426558,1207628.5,0.8375982,"[0.13814813 0.13465013 0.1315705  0.12815107 0.12430757 0.11963324
 0.11547952 0.11157608 0.10836475 0.10447311 0.10159626 0.09809944
 0.09496393 0.09268812 0.09155277 0.08916947]"
Transformer,Transformer_48_16_Transformer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000N,48,16,16,0.037836093,0.13333033,0.19451502,2.7593248,2583785.2,0.9005233,"[0.112294   0.10763091 0.10617749 0.10477886 0.10342872 0.10215519
 0.10112473 0.10034371 0.09958109 0.09880386 0.09806995 0.09732515
 0.09662902 0.09604093 0.09565205 0.09433565]"
Informer,Informer_48_16_Informer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000N,48,16,16,0.03807464,0.13398714,0.19512723,2.7977529,2550489.0,0.9033576,"[0.09978609 0.09858741 0.09778702 0.09681711 0.08504212 0.08543063
 0.08538618 0.08511067 0.08615931 0.08672903 0.08648791 0.08621747
 0.08541638 0.08552579 0.0850298  0.08498163]"
