model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong7000N,48,16,16,0.044829343,0.15644656,0.2117294,3.1844506,1477766.0,1.097668,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong7000N,48,16,16,0.027608344,0.120992,0.16615759,3.2400882,1393441.9,0.86141026,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N,48,16,16,0.025785582,0.11620584,0.16057889,3.0791535,1342504.4,0.8324886,"[0.06933818 0.06764039 0.06667595 0.0651651  0.0624751  0.06068213
 0.05806051 0.05580642 0.05385566 0.05148467 0.04898769 0.04702156
 0.04527917 0.04367391 0.04153364 0.04049329]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N,48,16,16,0.025493225,0.114827454,0.15966599,3.1618707,1499126.6,0.8277558,"[0.06791434 0.0664338  0.06521115 0.06396108 0.06274933 0.06144867
 0.06006434 0.05842776 0.05664153 0.05510306 0.05352657 0.05184588
 0.05033861 0.04904477 0.04776584 0.04665925]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N,48,16,16,0.026533656,0.11860744,0.16289155,3.1317074,1373989.9,0.84447813,"[0.07815997 0.07376431 0.07048838 0.06924136 0.06595163 0.06094392
 0.05753809 0.05456644 0.05323144 0.04978539 0.04816447 0.04468729
 0.04162939 0.04024116 0.04046985 0.03816642]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N,48,16,16,0.026357856,0.11816902,0.16235103,3.1215844,1345641.9,0.8416759,"[0.07877978 0.07576296 0.07261233 0.06925008 0.06596246 0.06262945
 0.05910569 0.05599662 0.05321027 0.05053069 0.0479321  0.04596827
 0.04397321 0.04219704 0.04056532 0.0388548 ]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N,48,16,16,0.027642643,0.11872788,0.16626076,3.2564604,1427589.4,0.86194515,"[0.05377387 0.05295427 0.052257   0.05120436 0.04311652 0.04307624
 0.04265469 0.04218512 0.03843644 0.03854101 0.03837631 0.03808315
 0.03671367 0.03663339 0.03651377 0.03620262]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N,48,16,16,0.027420407,0.118391715,0.16559109,3.3042278,1572307.4,0.8584733,"[0.05999454 0.05559058 0.05405618 0.05244996 0.0509121  0.04964974
 0.04868535 0.04793081 0.04717979 0.04648301 0.04582695 0.04520243
 0.044606   0.044036   0.04349274 0.042492  ]"
