model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
SPOCO,SPOCO_48_16_SPOCO_ActivityStimulus_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongSPOCO7000N,48,16,16,0.02844699,0.12248528,0.16866235,3.6251018,2033336.1,0.82341516,"[0.04446524 0.04343454 0.04212752 0.0412102  0.04035686 0.03951001
 0.03872642 0.03814481 0.03732239 0.03666448 0.03615324 0.03545976
 0.03500742 0.03448381 0.03410625 0.03372137]"
SPOCO,SPOCO_48_16_SPOCO_ActivityStimulus_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongSPOCO7000N,48,16,16,0.028813187,0.12400007,0.16974448,4.069159,3318200.8,0.8255616,"[0.04931961 0.04825325 0.04688769 0.04605634 0.04522737 0.0444714
 0.04356172 0.04297285 0.04205999 0.04134231 0.04089568 0.04011419
 0.03964937 0.03912141 0.03872567 0.03833394]"
