model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_16_8_Naive_Activity_ftM_sl16_pl8_Exp,ActivityShort7000N,16,8,8,0.041657537,0.15167995,0.20410179,3.1815217,1944862.2,1.0579917,[]
Mean,Mean_16_8_Mean_Activity_ftM_sl16_pl8_Exp,ActivityShort7000N,16,8,8,0.02715426,0.12010497,0.16478549,3.1716146,1577598.8,0.85418993,[]
TSMixer,TSMixer_16_8_TSMixer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7000N,16,8,8,0.025443392,0.11638996,0.15950985,3.0215974,1530713.1,0.82684284,"[0.07489254 0.07163978 0.06952953 0.06652263 0.06388686 0.06050013
 0.05767158 0.0544013 ]"
POCO,POCO_16_8_POCO_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7000N,16,8,8,0.024219844,0.11276978,0.15562727,3.1450558,1677128.4,0.80671686,"[0.06823969 0.06617171 0.06479081 0.06332501 0.06192596 0.06039478
 0.05873219 0.05706811]"
Linear,Linear_16_8_Linear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7000N,16,8,8,0.02694227,0.12034254,0.164141,3.1614606,1656434.4,0.85084915,"[0.07245784 0.07050076 0.06505041 0.06787188 0.05722295 0.05638767
 0.05752612 0.0515859 ]"
DLinear,DLinear_16_8_DLinear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7000N,16,8,8,0.025709942,0.11739592,0.1603432,3.173983,1689906.9,0.83116263,"[0.07849412 0.07520538 0.07171979 0.06810806 0.0644759  0.06100768
 0.05755909 0.05432044]"
Informer,Informer_16_8_Informer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7000N,16,8,8,0.027328327,0.118189014,0.16531281,3.3585787,1733756.6,0.8569234,"[0.06392336 0.06214905 0.05518717 0.05406072 0.04848222 0.04782455
 0.04492724 0.04446728]"
Transformer,Transformer_16_8_Transformer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort7000N,16,8,8,0.027093971,0.11793754,0.16460246,3.3730605,1834850.5,0.85324115,"[0.06534553 0.06122508 0.05922685 0.05723945 0.05537936 0.05376195
 0.05228021 0.04998079]"
