model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong70N,48,16,16,0.02218669,0.082720146,0.14895196,1.8926004,8997.146,0.7289029,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong70N,48,16,16,0.031375058,0.10367152,0.17713006,3.43082,43419.227,0.8667936,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.020060446,0.07354603,0.14163491,1.760745,7309.155,0.6930965,"[0.13815467 0.13729306 0.13643931 0.13511398 0.1343427  0.13245466
 0.13069591 0.1283997  0.12578791 0.12348619 0.12097158 0.11864771
 0.1163527  0.11420717 0.11154966 0.10919046]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.019667642,0.070384555,0.14024137,1.985137,10189.324,0.6862772,"[0.13562807 0.13398632 0.13257088 0.1314155  0.13024895 0.12847406
 0.12678996 0.12476894 0.12246657 0.12015143 0.1179307  0.11569304
 0.11371709 0.11186111 0.11017126 0.10794074]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.02077873,0.07523739,0.14414829,2.2312698,20345.322,0.7053959,"[0.1395168  0.13946302 0.13895936 0.13691235 0.13472192 0.13299008
 0.13084894 0.12836608 0.12578657 0.1224087  0.12092745 0.11847869
 0.11668319 0.11348662 0.1118016  0.10898939]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.019806214,0.07283499,0.14073455,2.1695602,19042.553,0.6886906,"[0.13878301 0.138058   0.13726094 0.13629493 0.13503729 0.13339649
 0.13149633 0.12917316 0.12667784 0.1242276  0.12178411 0.11956607
 0.11733172 0.11517072 0.11294218 0.11055171]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.02927276,0.0930331,0.17109284,2.7167873,15218.009,0.8372502,"[0.14108248 0.14015408 0.13863502 0.13643864 0.13173781 0.1297136
 0.12760523 0.12487478 0.11655719 0.11486007 0.11216789 0.10921303
 0.10000192 0.09864372 0.09605397 0.0933121 ]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.024601275,0.08522959,0.15684794,2.8287473,35366.168,0.7675421,"[0.14044906 0.13974296 0.13863774 0.13721465 0.13542247 0.13341649
 0.13129243 0.12901452 0.12661222 0.12415988 0.12172948 0.11935507
 0.11692134 0.11436092 0.11164406 0.10873833]"
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.020060446,0.07354603,0.14163491,1.760745,7309.155,0.6930965,"[0.13815467 0.13729306 0.13643931 0.13511398 0.1343427  0.13245466
 0.13069591 0.1283997  0.12578791 0.12348619 0.12097158 0.11864771
 0.1163527  0.11420717 0.11154966 0.10919046]"
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.020060446,0.07354603,0.14163491,1.760745,7309.155,0.6930965,"[0.13815467 0.13729306 0.13643931 0.13511398 0.1343427  0.13245466
 0.13069591 0.1283997  0.12578791 0.12348619 0.12097158 0.11864771
 0.1163527  0.11420717 0.11154966 0.10919046]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.019667642,0.070384555,0.14024137,1.985137,10189.324,0.6862772,"[0.13562807 0.13398632 0.13257088 0.1314155  0.13024895 0.12847406
 0.12678996 0.12476894 0.12246657 0.12015143 0.1179307  0.11569304
 0.11371709 0.11186111 0.11017126 0.10794074]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong70N,48,16,16,0.02077873,0.07523739,0.14414829,2.2312698,20345.322,0.7053959,"[0.1395168  0.13946302 0.13895936 0.13691235 0.13472192 0.13299008
 0.13084894 0.12836608 0.12578657 0.1224087  0.12092745 0.11847869
 0.11668319 0.11348662 0.1118016  0.10898939]"
