model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong7000N_MSE,48,16,16,0.044829343,0.15644656,0.2117294,3.1844506,1477766.0,1.097668,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong7000N_MSE,48,16,16,0.027608344,0.120992,0.16615759,3.2400882,1393441.9,0.86141026,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N_MSE,48,16,16,0.025827277,0.11713077,0.16070867,3.2103786,1473219.8,0.8331614,"[0.06851878 0.06688445 0.06604232 0.06484043 0.06233687 0.06070156
 0.05812318 0.05586222 0.05374747 0.05153034 0.04916405 0.04723151
 0.04537702 0.04376198 0.04173254 0.0407267 ]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N_MSE,48,16,16,0.025225414,0.115470685,0.1588251,3.2881124,1566161.8,0.82339644,"[0.06807508 0.06625926 0.06490081 0.06356492 0.06240965 0.06110086
 0.0597374  0.05816726 0.05645661 0.05492665 0.05332774 0.05165125
 0.05022393 0.04887821 0.04766303 0.04649451]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N_MSE,48,16,16,0.026691807,0.120766975,0.16337627,3.4442039,1739735.4,0.84699106,"[0.07609656 0.06849972 0.06558799 0.06888972 0.06589223 0.0586003
 0.05532492 0.05235054 0.05349021 0.04905814 0.04843264 0.04263348
 0.03771445 0.03676882 0.04053457 0.03695637]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N_MSE,48,16,16,0.026149096,0.11942844,0.16170682,3.4246054,1669637.9,0.83833605,"[0.07814082 0.07518901 0.07220635 0.06903563 0.06589293 0.06271202
 0.05943263 0.05637077 0.05348496 0.05087586 0.04842624 0.0462309
 0.04424664 0.04246743 0.04079088 0.03920142]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N_MSE,48,16,16,0.027731374,0.12120871,0.16652739,3.486286,1546144.1,0.8633274,"[0.04713378 0.04684006 0.04625289 0.0453334  0.03523999 0.03539756
 0.03524742 0.03493992 0.03257735 0.03278143 0.03265238 0.03240809
 0.03136661 0.03132349 0.03097696 0.03072967]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000N_MSE,48,16,16,0.027276095,0.12029137,0.16515476,3.5552206,1782776.9,0.85621125,"[0.05824842 0.05404724 0.05275217 0.05132616 0.05002109 0.04890519
 0.04797521 0.04715576 0.04633366 0.04552246 0.04472205 0.0439628
 0.04326666 0.0426107  0.04197465 0.04086394]"
