model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong700N_MSE,48,16,16,0.032134492,0.120543726,0.17926095,2.918405,1636067.8,0.9511551,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong700N_MSE,48,16,16,0.026506888,0.106649674,0.16280936,3.4147995,2902756.0,0.8638632,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N_MSE,48,16,16,0.021913936,0.096628934,0.14803356,3.0268295,2016306.2,0.7854632,"[0.09526282 0.09479664 0.0942695  0.09254105 0.09036995 0.08985994
 0.08743355 0.08545774 0.08306406 0.08059075 0.07827122 0.07600208
 0.07336955 0.07041385 0.06830426 0.06547952]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N_MSE,48,16,16,0.02084178,0.09411153,0.14436682,3.3993533,2782196.2,0.7660075,"[0.09027326 0.08925908 0.08854908 0.08786932 0.08726541 0.08632462
 0.08538817 0.08432518 0.08281193 0.08114043 0.0791466  0.07694218
 0.07490763 0.07289908 0.07080367 0.0689432 ]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N_MSE,48,16,16,0.022406768,0.10113902,0.1496889,3.6785333,3756933.5,0.7942464,"[0.09866253 0.09696002 0.09562578 0.09463815 0.09271955 0.0882329
 0.08590597 0.08321675 0.08299873 0.07811459 0.07727724 0.07182046
 0.06744593 0.0649589  0.06624942 0.06175512]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N_MSE,48,16,16,0.021823326,0.099586055,0.1477272,3.6087866,3281922.5,0.7838376,"[0.09853476 0.09733689 0.09587523 0.09433489 0.09261637 0.090762
 0.08854476 0.0858653  0.08318987 0.08040193 0.07754227 0.07474041
 0.07211569 0.06954477 0.06691191 0.06452055]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N_MSE,48,16,16,0.027667038,0.11333823,0.16633412,4.6809497,4438848.5,0.88256556,"[0.08605737 0.0845373  0.0830839  0.08114257 0.07216239 0.07092561
 0.0698148  0.0682882  0.06195787 0.06097236 0.05999983 0.05868761
 0.05450201 0.05397744 0.0531616  0.05217631]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong700N_MSE,48,16,16,0.026463188,0.10925259,0.1626751,4.3419895,4777196.5,0.86315084,"[0.08894537 0.08757345 0.08565638 0.08365846 0.08166681 0.07961049
 0.07751208 0.07545898 0.0734698  0.07149913 0.06968257 0.06781521
 0.06597038 0.06421006 0.06258617 0.06027858]"
