model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_16_8_Naive_Activity_ftM_sl16_pl8_Exp,ActivityShort70N,16,8,8,0.013559876,0.065370336,0.11644688,1.6596595,8075.1265,0.56984884,[]
Mean,Mean_16_8_Mean_Activity_ftM_sl16_pl8_Exp,ActivityShort70N,16,8,8,0.02126928,0.081530616,0.14583991,1.9350964,6492.5884,0.71368766,[]
TSMixer,TSMixer_16_8_TSMixer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort70N,16,8,8,0.012987965,0.059604168,0.11396475,1.4854994,7030.064,0.55770224,"[0.13947546 0.13871942 0.13752675 0.13622804 0.13490823 0.13293238
 0.13079886 0.12813173]"
POCO,POCO_16_8_POCO_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort70N,16,8,8,0.0126321055,0.05662998,0.11239264,1.8112326,11011.209,0.55000883,"[0.13610591 0.13435227 0.13281973 0.13141356 0.1300812  0.12854375
 0.12676981 0.12487586]"
Linear,Linear_16_8_Linear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort70N,16,8,8,0.014340853,0.062605,0.1197533,1.8841565,13842.193,0.5860293,"[0.14025466 0.1393119  0.13688141 0.13686696 0.13491853 0.13394937
 0.13061431 0.1285946 ]"
DLinear,DLinear_16_8_DLinear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort70N,16,8,8,0.013131545,0.059332166,0.114592955,1.846485,13954.98,0.5607764,"[0.13932094 0.13847503 0.13759275 0.13660187 0.13556145 0.1336507
 0.13178682 0.12945077]"
Informer,Informer_16_8_Informer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort70N,16,8,8,0.02095802,0.07438017,0.14476885,2.3850486,20465.602,0.7084463,"[0.14144719 0.14015834 0.13784796 0.13593344 0.13356085 0.13163938
 0.1289452  0.12666789]"
Transformer,Transformer_16_8_Transformer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort70N,16,8,8,0.016505355,0.06825813,0.12847316,2.0804217,10018.0,0.62870115,"[0.13963053 0.13891616 0.13786224 0.1365064  0.13481419 0.13281494
 0.1306952  0.12847915]"
