model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_ActivityBehavioral_ftM_sl48_pl16_Exp,ActivityLongBehavioral7000NZScored,48,16,16,1.3431001,0.85244703,1.158922,,,1.0351654,[]
Mean,Mean_48_16_Mean_ActivityBehavioral_ftM_sl48_pl16_Exp,ActivityLongBehavioral7000NZScored,48,16,16,0.94524133,0.7038924,0.9722352,,,0.86841416,[]
TSMixer,TSMixer_48_16_TSMixer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NZScored,48,16,16,0.878766,0.66749865,0.9374252,inf,inf,0.8373214,"[0.21254571 0.21357687 0.21622995 0.21744677 0.21509367 0.21457452
 0.21275388 0.2112613  0.2097343  0.2079786  0.20558134 0.20382544
 0.20245507 0.20087667 0.19879691 0.19764104]"
POCO,POCO_48_16_POCO_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NZScored,48,16,16,0.8860822,0.6653835,0.9413194,inf,inf,0.84079975,"[0.21484897 0.2168699  0.21819496 0.2194206  0.22006413 0.22063184
 0.22046874 0.2199526  0.21931453 0.21811217 0.21735635 0.21624996
 0.21519807 0.21418363 0.21324497 0.21230298]"
DLinear,DLinear_48_16_DLinear_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NZScored,48,16,16,0.8768463,0.66723233,0.9364007,inf,inf,0.8364063,"[0.22112145 0.21996848 0.21876675 0.21752067 0.21605128 0.21432781
 0.2123157  0.21012658 0.2078467  0.2056711  0.20354094 0.20149986
 0.19953911 0.19771321 0.19602391 0.19449018]"
Linear,Linear_48_16_Linear_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NZScored,48,16,16,0.87667686,0.6672184,0.93631023,inf,inf,0.83632547,"[0.22159733 0.22016527 0.21914048 0.21771513 0.2161811  0.21438919
 0.21235688 0.21013227 0.20786443 0.20567682 0.20354356 0.20148271
 0.1995112  0.19768329 0.19601862 0.19448808]"
Transformer,Transformer_48_16_Transformer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NZScored,48,16,16,1.2644786,0.8036876,1.1244904,inf,inf,1.0044106,"[0.22730905 0.20653206 0.2012607  0.18976068 0.19308855 0.19158004
 0.1909329  0.19070885 0.19058411 0.19039728 0.19040425 0.19016567
 0.18968053 0.18909863 0.18872187 0.1982175 ]"
Informer,Informer_48_16_Informer_ActivityBehavioral_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongBehavioral7000NZScored,48,16,16,1.4713879,0.90562683,1.2130078,inf,inf,1.0834756,"[0.21158166 0.20779507 0.20869854 0.20767352 0.18713483 0.19086367
 0.19357239 0.19258113 0.17757472 0.18212558 0.18331687 0.18230255
 0.18556724 0.18778004 0.18800671 0.18720996]"
