model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLongActive11392N,48,16,16,0.044280324,0.15520683,0.21042891,3.292706,2235662.2,1.086914,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLongActive11392N,48,16,16,0.027472723,0.12046023,0.16574898,3.3080437,1706147.1,0.8561318,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongActive11392N,48,16,16,0.02557455,0.11551529,0.15992045,3.126659,1615769.9,0.8260261,"[0.07020507 0.06902909 0.06725733 0.06579799 0.06382119 0.06204308
 0.05931121 0.05760297 0.05521988 0.05319192 0.05094567 0.04894194
 0.04725659 0.04564135 0.04369218 0.04251327]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongActive11392N,48,16,16,0.025320632,0.11423005,0.15912458,3.2168071,1715516.6,0.82191527,"[0.06883048 0.0673063  0.06613126 0.06486608 0.06354219 0.06226347
 0.06074324 0.05910181 0.0574209  0.05582713 0.05420122 0.05255428
 0.05105035 0.04967242 0.04831102 0.04716481]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongActive11392N,48,16,16,0.026145814,0.11749411,0.16169667,3.1834402,1658710.8,0.8352007,"[0.07966797 0.07681977 0.07379185 0.07063553 0.06752105 0.0643474
 0.06099786 0.05799766 0.05524783 0.05262996 0.05009249 0.04808741
 0.04605113 0.04421345 0.04253635 0.04081432]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongActive11392N,48,16,16,0.026300699,0.11786806,0.1621749,3.187563,1666589.6,0.83767086,"[0.07923815 0.07507876 0.07208087 0.07064989 0.06752121 0.06292474
 0.05966258 0.05679883 0.05527863 0.05207364 0.05029711 0.04700389
 0.04397713 0.04246281 0.0424731  0.04021708]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongActive11392N,48,16,16,0.027748229,0.11866112,0.166578,3.4204025,1844454.0,0.86041385,"[0.05515373 0.04791487 0.04694599 0.0460729  0.04544471 0.04496761
 0.04456766 0.04419816 0.0437908  0.04338401 0.04299086 0.04259207
 0.04219195 0.04177087 0.04132736 0.0408011 ]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongActive11392N,48,16,16,0.027857134,0.11884642,0.16690457,3.418252,1831644.9,0.86210066,"[0.05315045 0.05222681 0.05144798 0.05038265 0.04301092 0.04288327
 0.04275341 0.0423621  0.03771009 0.03786269 0.03774572 0.03743825
 0.03483825 0.03486602 0.03469727 0.03440681]"
