model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_96_32_Naive_Activity_ftM_sl96_pl32_Exp,ActivityExtraLong70N,96,32,16,0.033529263,0.102624655,0.18310997,2.414927,14451.022,0.89683235,[]
Mean,Mean_96_32_Mean_Activity_ftM_sl96_pl32_Exp,ActivityExtraLong70N,96,32,16,0.03699799,0.115596,0.19234861,4.1486554,29991.47,0.94208115,[]
TSMixer,TSMixer_96_32_TSMixer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong70N,96,32,16,0.02849735,0.088589095,0.16881157,2.1240559,7950.755,0.8268019,"[0.13598387 0.1357     0.13443337 0.13353918 0.13249514 0.13099465
 0.12956068 0.12691742 0.12484807 0.12241599 0.12033917 0.1179136
 0.11558314 0.11270971 0.1104714  0.10745491 0.10433751 0.10142378
 0.09932265 0.0960513  0.09306582 0.09038443 0.08746129 0.08496109
 0.08321375 0.07924622 0.07902606 0.07688157 0.07315961 0.07178184
 0.06880742 0.06440442]"
POCO,POCO_96_32_POCO_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong70N,96,32,16,0.027618317,0.085391864,0.1661876,2.541708,18160.498,0.8139503,"[0.13635157 0.13513216 0.1342058  0.13310324 0.13168871 0.12960537
 0.12753169 0.12546188 0.12307694 0.12095898 0.11851335 0.11642274
 0.11462852 0.11248247 0.11036625 0.10815356 0.10555313 0.1035032
 0.10102045 0.09916088 0.09723473 0.0951829  0.09278098 0.09158204
 0.08975082 0.08816151 0.0853572  0.08361758 0.08274024 0.08133021
 0.07996355 0.07787888]"
DLinear,DLinear_96_32_DLinear_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong70N,96,32,16,0.026827587,0.08857583,0.16481603,2.7090793,27578.402,0.81702816,"[0.13945386 0.13861863 0.13730171 0.13638182 0.13440801 0.13267201
0.12988402 0.12804294 0.12538186 0.12245101 0.12056678 0.11778779
0.11531334 0.11386181 0.11105084 0.10903605 0.10597499 0.10198123
0.10058042 0.09741281 0.0939776  0.09277003 0.09065428 0.08827041
0.08649764 0.08501892 0.08292072 0.08013579 0.07811885 0.07644021
0.07410194 0.07205189]"
Linear,Linear_96_32_Linear_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong70N,96,32,16,0.027827587,0.08857583,0.16681603,2.7090793,27578.402,0.81702816,"[0.13945386 0.13861863 0.13730171 0.13638182 0.13440801 0.13267201
 0.12988402 0.12804294 0.12538186 0.12245101 0.12056678 0.11778779
 0.11531334 0.11386181 0.11105084 0.10903605 0.10597499 0.10198123
 0.10058042 0.09741281 0.0939776  0.09277003 0.09065428 0.08827041
 0.08649764 0.08501892 0.08292072 0.08013579 0.07811885 0.07644021
 0.07410194 0.07205189]"
Informer,Informer_96_32_Informer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong70N,96,32,16,0.038147844,0.10753239,0.19531474,3.7292786,60842.383,0.9566086,"[0.13316812 0.13031383 0.1311054  0.12876412 0.12588623 0.12205341
 0.11949299 0.11636671 0.10819709 0.10663132 0.10533885 0.10254919
 0.09943884 0.09671727 0.08496063 0.08350888 0.08058874 0.07732711
 0.07402933 0.07098642 0.06470186 0.06537763 0.06449405 0.06248088
 0.06047619 0.05906928 0.05005607 0.04966658 0.04943249 0.04797497
 0.04654064 0.04547091]"
Transformer,Transformer_96_32_Transformer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong70N,96,32,16,0.03281914,0.100252904,0.18116054,3.2115855,24291.637,0.88728446,"[0.13989252 0.13942435 0.13821407 0.13667423 0.13483506 0.1327969
 0.13062839 0.1282613  0.12576553 0.12313291 0.12044342 0.11771674
 0.11489638 0.11203292 0.10910805 0.10611304 0.10310556 0.10017579
 0.09731301 0.09459708 0.09198471 0.08945936 0.08693373 0.08448784
 0.08219751 0.07998662 0.07772471 0.07551077 0.0733742  0.07141034
 0.06962904 0.06740541]"
