model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong7000NZscore,48,16,16,1.1124517,0.78852016,1.0547283,,,1.191336,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong7000NZscore,48,16,16,0.72763115,0.62769413,0.853013,,,0.9634947,[]
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NZscore,48,16,16,0.6628142,0.5914868,0.814134,inf,inf,0.91958016,"[0.11162687 0.10988498 0.10780374 0.10600585 0.10455985 0.10300715
 0.10086029 0.0989216  0.09736709 0.09558272 0.09434339 0.09296916
 0.09189259 0.09083484 0.08990819 0.08872173]"
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NZscore,48,16,16,0.6761339,0.60176307,0.8222736,inf,inf,0.92877394,"[0.10716477 0.10566852 0.10468651 0.10319999 0.09979444 0.09756605
 0.09504901 0.09266908 0.09083561 0.08875719 0.08675985 0.08484869
 0.08352624 0.08182592 0.07971238 0.07847052]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NZscore,48,16,16,0.6643152,0.602995,0.8150554,inf,inf,0.9206208,"[0.11436883 0.11107996 0.10783008 0.10459329 0.10137475 0.09827656
 0.09512966 0.09215013 0.08941767 0.08701187 0.08479368 0.08275378
 0.08093319 0.07926793 0.07769202 0.07624011]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NZscore,48,16,16,0.6649472,0.60306007,0.815443,inf,inf,0.92105865,"[0.11489841 0.11118756 0.10819427 0.10469447 0.10146309 0.09829188
 0.09514458 0.0921296  0.08942277 0.08700163 0.08479415 0.08271869
 0.08080421 0.07919024 0.07767953 0.07623997]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NZscore,48,16,16,0.78767765,0.64032143,0.887512,inf,inf,1.0024621,"[0.10100397 0.07804386 0.07617047 0.07517644 0.07520759 0.0754683
 0.07498656 0.07360361 0.07107018 0.06748983 0.06258637 0.056748
 0.05241607 0.05025522 0.04977325 0.05527002]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NZscore,48,16,16,0.867354,0.66864103,0.9313184,inf,inf,1.0519422,"[0.08152857 0.07417382 0.07415573 0.0741194  0.05522311 0.05747076
 0.05954801 0.06009532 0.05120309 0.05598491 0.05621348 0.05700404
 0.05443647 0.05821302 0.05973744 0.06028385]"
