model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_96_32_Naive_Activity_ftM_sl96_pl32_Exp,ActivityExtraLong7000N,96,32,16,0.047819808,0.16080081,0.2186774,3.232785,1431718.4,1.1338372,[]
Mean,Mean_96_32_Mean_Activity_ftM_sl96_pl32_Exp,ActivityExtraLong7000N,96,32,16,0.027763283,0.12124526,0.16662318,3.2860093,1268302.1,0.8639373,[]
TSMixer,TSMixer_96_32_TSMixer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong7000N,96,32,16,0.026709346,0.11753381,0.16342995,3.0896728,1192509.5,0.84738046,"[0.06654325 0.06482752 0.06400196 0.06187968 0.06037905 0.05860298
 0.05637558 0.0540208  0.05239562 0.05034139 0.04861422 0.04669856
 0.04559871 0.04435325 0.04202722 0.04082261 0.03989005 0.03872425
 0.03862847 0.03714614 0.03633687 0.03549413 0.03496733 0.03475532
 0.03390487 0.03324972 0.0329539  0.03249633 0.03215177 0.03159774
 0.03143793 0.03095848]"
POCO,POCO_96_32_POCO_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong7000N,96,32,16,0.026481543,0.11644752,0.1627315,3.1917434,1409384.6,0.8437591,"[0.06730226 0.06588215 0.06490399 0.06367474 0.06261476 0.06137465
 0.05999935 0.05858252 0.05696069 0.05543289 0.05379648 0.05224355
 0.05081847 0.04949219 0.04824963 0.0470828  0.04603962 0.04507946
 0.04401319 0.04313961 0.04234277 0.04151079 0.04082979 0.04016595
 0.03955293 0.03906556 0.03848678 0.03816568 0.03774661 0.03739727
 0.03705576 0.0367685 ]"
Linear,Linear_96_32_Linear_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong7000N,96,32,16,0.02710206,0.119387,0.16462703,3.1275032,1199202.0,0.8535873,"[0.07813747 0.0756102  0.07272103 0.06918494 0.06644554 0.0632741
 0.05713362 0.0567724  0.05406414 0.05048187 0.0491965  0.04552283
 0.04288745 0.04236441 0.04163559 0.03937876 0.03839595 0.03542478
 0.03561914 0.03504355 0.03187278 0.03281854 0.03170284 0.03062688
 0.03060933 0.03066211 0.03063775 0.02891686 0.02895098 0.02909874
 0.02798169 0.02788106]"
DLinear,DLinear_96_32_DLinear_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong7000N,96,32,16,0.027002832,0.11912034,0.16432539,3.1257346,1203465.1,0.8520233,"[0.07861541 0.07571128 0.07272203 0.06958535 0.06646354 0.0633096
 0.06011779 0.05704451 0.05418427 0.05159937 0.04923468 0.04702951
 0.04506958 0.04328449 0.04164713 0.04017535 0.03885152 0.0376454
 0.03650704 0.03546789 0.03452399 0.03369572 0.03295979 0.03230518
 0.03167465 0.03114199 0.03065927 0.03021787 0.029813   0.02943988
 0.02908027 0.02872618]"
Informer,Informer_96_32_Informer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong7000N,96,32,16,0.02799033,0.119484,0.16730312,3.263321,1350801.4,0.86746275,"[0.04395124 0.04350372 0.03460727 0.03516234 0.03506841 0.03486887
 0.03464032 0.03439787 0.02840437 0.02877838 0.02871561 0.02863051
 0.02855262 0.02844353 0.02625856 0.02650433 0.02643681 0.02636786
 0.02624783 0.0260961  0.02447288 0.02457159 0.02451022 0.02449748
 0.02444524 0.0243877  0.02343261 0.02342973 0.02345944 0.0231979
 0.0232493  0.02285925]"
Transformer,Transformer_96_32_Transformer_Activity_ftM_sl96_ll16_pl32_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityExtraLong7000N,96,32,16,0.027615834,0.11877026,0.16618012,3.2829661,1463260.0,0.8616401,"[0.05436117 0.05069176 0.04964127 0.0485008  0.04742843 0.04649314
 0.04569897 0.04508027 0.04450208 0.04396817 0.04343948 0.04288531
 0.04233823 0.04184774 0.0414372  0.04106474 0.04070694 0.04035886
 0.040022   0.03969043 0.03936793 0.03904726 0.03872906 0.03842618
 0.03814138 0.03786378 0.03758028 0.037353   0.03713702 0.03693393
 0.03678613 0.03633465]"
