model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
POCO,SPOCO_48_16_POCO_ActivityStimulus_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongSPOCO70N,48,16,16,0.017795378,0.07013988,0.13339932,1.4349151,3000.761,0.69272375,"[0.06414199 0.06352597 0.06337236 0.06267098 0.06213315 0.06103483
 0.05999253 0.05811384 0.05640572 0.0546024  0.05336659 0.05147502
 0.04953948 0.04758954 0.04556928 0.04372486]"
SPOCO,SPOCO_48_16_SPOCO_ActivityStimulus_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLongSPOCO70N,48,16,16,0.017787961,0.070151195,0.13337152,1.4350722,3012.8965,0.6925794,"[0.06414943 0.0635532  0.06337322 0.06266291 0.06213422 0.0610644
 0.05999243 0.05811472 0.05641719 0.05461852 0.05336956 0.05148672
 0.04955168 0.04757788 0.04557781 0.04372636]"
