model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_16_8_Naive_Activity_ftM_sl16_pl8_Exp,ActivityShort700N,16,8,8,0.02646106,0.111161314,0.16266856,3.7928674,6733664.5,0.8631455,[]
Mean,Mean_16_8_Mean_Activity_ftM_sl16_pl8_Exp,ActivityShort700N,16,8,8,0.023138044,0.099586576,0.15211195,3.5790093,4209781.0,0.8071304,[]
TSMixer,TSMixer_16_8_TSMixer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort700N,16,8,8,0.018952124,0.09027936,0.13766672,3.3917422,4398214.5,0.7304817,"[0.09781501 0.09620804 0.09506736 0.09371115 0.09139534 0.08923969
 0.08674334 0.08431023]"
POCO,POCO_16_8_POCO_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort700N,16,8,8,0.017970651,0.08699279,0.13405466,3.8640335,5053514.5,0.7113155,"[0.08953629 0.0881647  0.08677533 0.08579726 0.08484047 0.08384617
 0.08266568 0.08131246]"
Linear,Linear_16_8_Linear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort700N,16,8,8,0.020329092,0.094490394,0.14258012,3.6328855,4886968.0,0.756553,"[0.09831601 0.09708173 0.09336302 0.09451867 0.08842122 0.08747333
 0.08716079 0.08261035]"
DLinear,DLinear_16_8_DLinear_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort700N,16,8,8,0.019367812,0.09191101,0.13916829,3.6521413,5063425.5,0.7384493,"[0.09914095 0.09795675 0.09645881 0.09470175 0.0927353  0.09037706
 0.08771888 0.08469648]"
Informer,Informer_16_8_Informer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort700N,16,8,8,0.025027024,0.10023528,0.15819931,4.4763575,7250523.5,0.8394309,"[0.10339268 0.10098867 0.09454942 0.09186681 0.08561636 0.08335567
 0.07819638 0.07621558]"
Transformer,Transformer_16_8_Transformer_Activity_ftM_sl16_ll8_pl8_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityShort700N,16,8,8,0.024402352,0.09943518,0.15621252,4.2035875,5925531.5,0.82888865,"[0.10002574 0.09765302 0.09521082 0.09249723 0.08990908 0.08732605
 0.08465172 0.08196442]"
