model,setting,experiment_name,seq_len,pred_len,label_len,mse,mae,rmse,mape,mspe,rse,corr
Naive,Naive_48_16_Naive_Activity_ftM_sl48_pl16_Exp,ActivityLong7000NPseudo,48,16,16,5297.5605,20.955076,72.78434,,,1.0521247,[]
Mean,Mean_48_16_Mean_Activity_ftM_sl48_pl16_Exp,ActivityLong7000NPseudo,48,16,16,4305.997,21.329012,65.620094,,,0.9485629,[]
TSMixer,TSMixer_48_16_TSMixer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NPseudo,48,16,16,3390.1682,15.173957,58.22515,,,0.8416662,"[0.10427517 0.09628691 0.08736815 0.07748062 0.06558835 0.0497351
 0.01071886 0.00789104 0.00726068 0.00753418 0.00805707 0.00826331
 0.0083808  0.00836812 0.00853896 0.00870543]"
POCO,POCO_48_16_POCO_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NPseudo,48,16,16,3416.5818,14.425557,58.451534,inf,inf,0.84493864,"[0.10411821 0.09682029 0.08849633 0.07855385 0.0667567  0.05139082
 0.02919937 0.02633399 0.02412167 0.02232778 0.02040881 0.01839543
 0.01659052 0.01518069 0.01391435 0.01279001]"
Linear,Linear_48_16_Linear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NPseudo,48,16,16,3806.497,16.074871,61.696815,inf,inf,0.8918504,"[0.09991582 0.09396077 0.08288339 0.07500046 0.06132598 0.04693127
 0.0046682  0.00277921 0.00366806 0.0045725  0.00451055 0.00452142
 0.00501549 0.00529827 0.00595829 0.00560494]"
DLinear,DLinear_48_16_DLinear_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NPseudo,48,16,16,3680.0098,15.468754,60.663086,,,0.8769074,"[0.10361956 0.09597944 0.08755767 0.07716922 0.06468347 0.04837511
 0.00579826 0.00259653 0.00365861 0.00437971 0.00483239 0.00544764
 0.00576874 0.00607664 0.00625668 0.00592578]"
Informer,Informer_48_16_Informer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NPseudo,48,16,16,4769.632,17.708822,69.06252,inf,inf,0.9983244,"[0.02972802 0.03170617 0.03044201 0.02863682 0.01480718 0.01663062
 0.01737454 0.01702274 0.01193113 0.01336577 0.01422451 0.01364925
 0.00971498 0.01070792 0.01098345 0.01087346]"
Transformer,Transformer_48_16_Transformer_Activity_ftM_sl48_ll16_pl16_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_0,ActivityLong7000NPseudo,48,16,16,4717.161,17.670937,68.681595,inf,inf,0.99281794,"[0.05451346 0.03489655 0.03410839 0.0325901  0.03039516 0.02728027
 0.02520596 0.02318005 0.02134316 0.01841924 0.0169108  0.01546622
 0.0150083  0.01469251 0.01439948 0.01375025]"
