Dataset,Naive_MAE,DLinear_MAE,DLinear_PredScore,Linear_MAE,Linear_PredScore,POCO_MAE,POCO_PredScore,TSMixer_MAE,TSMixer_PredScore,Informer_MAE,Informer_PredScore,Transformer_MAE,Transformer_PredScore
Active Task,0.15520683,0.11749411,0.4095387829592214,0.11786806,0.40604095399121287,0.11423005,0.4281741931246935,0.11551529,0.4224398629061522,0.11884642,0.37089136926821054,0.11866112,0.3733508137835668
Passive Task,0.16337168,0.12499873,0.39045483886559174,0.12512453,0.3890953284845443,0.12219121,0.39635982927201086,0.12248423,0.40053481170164806,0.1316529,0.28897134712753336,0.13155502,0.29073877138269744
